c_date,c_price,c_open,c_high,c_low
2021-10-31,405.21000,187.97000,212.81000,185.80000
2021-09-30,357.35000,191.79000,207.75000,184.42000
2021-08-31,415.29000,181.06000,201.66000,179.59000
2021-07-31,387.34000,178.37000,189.04000,164.81000
2021-06-30,360.35000,176.99000,200.97000,169.71000
2021-05-31,385.25000,162.61000,184.12000,144.74000
2021-04-30,328.66000,146.80000,177.17000,143.78000
2021-03-31,317.93000,189.23000,198.83000,118.62000
2021-02-28,251.63000,211.75000,222.82000,182.04000
2021-01-31,208.43000,244.25000,244.65000,210.69000
2020-12-31,223.09000,245.00000,254.65000,238.51000
