c_name,c_date,c_price,c_open,c_high,c_low
鋼筋價格指數,2021-04-30,639.28,643.0,643.0,643.0
鋼筋價格指數,2021-03-31,628.22,656.5,656.5,656.5
鋼筋價格指數,2021-02-28,605.43,563.0,563.0,563.0
鋼筋價格指數,2021-01-31,629.6,656.0,656.0,656.0
鋼筋價格指數,2020-12-31,593.52,554.5,554.5,554.5
鋼筋價格指數,2020-11-30,486.26,461.0,461.0,461.0
鋼筋價格指數,2020-10-31,445.48,453.5,453.5,453.5
鋼筋價格指數,2020-09-30,454.98,459.0,459.0,459.0
鋼筋價格指數,2020-08-31,440.05,453.5,453.5,453.5
鋼筋價格指數,2020-07-31,419.0,418.0,418.0,418.0
鋼筋價格指數,2020-06-30,415.95,425.5,425.5,425.5
鋼筋價格指數,2020-05-31,398.76,399.0,399.0,399.0
鋼筋價格指數,2020-04-30,402.93,372.5,372.5,372.5
鋼筋價格指數,2020-03-31,415.0,425.0,425.0,425.0
鋼筋價格指數,2020-02-29,428.21,428.21,428.21,428.21
鋼筋價格指數,2020-01-31,436.06,436.06,436.06,436.06
鋼筋價格指數,2019-12-31,441.93,441.93,441.93,441.93
鋼筋價格指數,2019-11-30,417.43,417.43,417.43,417.43
鋼筋價格指數,2019-10-31,405.1,405.1,405.1,405.1
鋼筋價格指數,2019-09-30,412.73,412.73,412.73,412.73
鋼筋價格指數,2019-08-31,448.55,448.55,448.55,448.55
鋼筋價格指數,2019-07-31,460.65,460.65,460.65,460.65
鋼筋價格指數,2019-06-30,467.53,467.53,467.53,467.53
鋼筋價格指數,2019-05-31,470.14,470.14,470.14,470.14
鋼筋價格指數,2019-04-30,480.18,480.18,480.18,480.18
鋼筋價格指數,2019-03-31,481.64,481.64,481.64,481.64
鋼筋價格指數,2019-02-28,471.13,471.13,471.13,471.13
鋼筋價格指數,2019-01-31,445.73,445.73,445.73,445.73
鋼筋價格指數,2018-12-31,467.28,467.28,467.28,467.28
鋼筋價格指數,2018-11-30,499.49,499.49,499.49,499.49
鋼筋價格指數,2018-10-31,498.98,498.98,498.98,498.98
鋼筋價格指數,2018-09-30,509.23,509.23,509.23,509.23
鋼筋價格指數,2018-08-31,520.95,520.95,520.95,520.95
鋼筋價格指數,2018-07-31,542.48,542.48,542.48,542.48
鋼筋價格指數,2018-06-30,548.17,548.17,548.17,548.17
鋼筋價格指數,2018-05-31,551.31,551.31,551.31,551.31
鋼筋價格指數,2018-04-30,555.28,555.28,555.28,555.28
鋼筋價格指數,2018-03-31,584.17,584.17,584.17,584.17
鋼筋價格指數,2018-02-28,567.48,567.48,567.48,567.48
鋼筋價格指數,2018-01-31,564.8,564.8,564.8,564.8
鋼筋價格指數,2017-12-31,559.0,559.0,559.0,559.0
鋼筋價格指數,2017-11-30,555.0,555.0,555.0,555.0
鋼筋價格指數,2017-10-31,526.0,526.0,526.0,526.0
鋼筋價格指數,2017-09-30,530.0,530.0,530.0,530.0
鋼筋價格指數,2017-08-31,542.0,542.0,542.0,542.0
鋼筋價格指數,2017-07-31,504.0,504.0,504.0,504.0
鋼筋價格指數,2017-06-30,427.07,427.07,427.07,427.07
鋼筋價格指數,2017-05-31,430.33,430.33,430.33,430.33
鋼筋價格指數,2017-04-30,423.81,423.81,423.81,423.81
鋼筋價格指數,2017-03-31,436.3,436.3,436.3,436.3
鋼筋價格指數,2017-02-28,413.5,413.5,413.5,413.5
鋼筋價格指數,2017-01-31,419.45,419.45,419.45,419.45
鋼筋價格指數,2016-12-31,428.25,428.25,428.25,428.25
鋼筋價格指數,2016-11-30,424.32,424.32,424.32,424.32
鋼筋價格指數,2016-10-31,375.6,375.6,375.6,375.6
鋼筋價格指數,2016-09-30,370.0,370.0,370.0,370.0
鋼筋價格指數,2016-08-31,381.68,381.68,381.68,381.68
鋼筋價格指數,2016-07-31,379.69,379.69,379.69,379.69
鋼筋價格指數,2016-06-30,398.59,398.59,398.59,398.59
鋼筋價格指數,2016-05-31,475.57,475.57,475.57,475.57
鋼筋價格指數,2016-04-30,454.0,454.0,454.0,454.0
鋼筋價格指數,2016-03-31,363.0,363.0,363.0,363.0
鋼筋價格指數,2016-02-29,318.81,318.81,318.81,318.81
鋼筋價格指數,2016-01-31,323.18,323.18,323.18,323.18
鋼筋價格指數,2015-12-31,326.38,326.38,326.38,326.38
